,U,D,L,R
"(3, 3, 3)",-0.8778244822078902,5.143687777657396,-0.7503972003528709,-0.670462940689164
"(3, 3, 4)",-0.6784052918632507,2.7266495487207085,-0.5019478671674835,0.6953771719331922
"(3, 3, 5)",-0.3885412622497558,4.5953667491436585,-0.3901142446810049,-0.3844345024108886
"(3, 4, 1)",-1.6525743467416742,11.65157155790116,12.417019945331017,36.718022168040406
"(3, 4, 2)",-1.0951084637167026,28.70028158331283,18.297047706944053,17.080917705065826
"(3, 4, 3)",0.2692048500855506,28.2685530427999,1.5170149357390221,3.4085363027920863
"(3, 4, 4)",-0.14805077971094502,6.909189567719429,1.6039712141021751,14.977955806814439
"(3, 4, 5)",-0.2417204978942871,34.38408103854889,-0.11516737289428709,-0.27995796203613277
"(3, 5, 1)",0.4001103606339841,-1.034113630962957,3.291273762852002,25.839023702093655
"(3, 5, 2)",0.032400916681265435,2.999041105239246,2.3445049469664028,39.80437354725852
"(3, 5, 3)",9.331832476823509,11.379659300463473,14.585899837632523,43.72060182239419
"(3, 5, 4)",5.936433112556795,25.72135119797416,23.305746526711047,46.03708810597007
"(4, 1, 1)",-0.5582880128860473,-0.6329209586975098,-0.33395844898223875,-0.5727618644142151
"(4, 1, 2)",-0.5576679130554199,-0.4744666894964218,-0.34332927589416506,-0.084309655626297
"(4, 1, 3)",-0.30705449523925776,-0.38787735459320066,-0.16937050781250002,2.29381570186615
"(4, 1, 4)",-0.04199612924212527,0.2577389930732072,-0.024263961181640634,20.08730652973479
"(4, 2, 1)",-0.7187837998146057,-0.6768331252656554,-0.6280563996826172,-0.6353949750457764
"(4, 2, 2)",-0.5545158532571411,-0.5346604894643371,-0.5967333637664795,-0.40769291926019047
"(4, 2, 3)",-0.37937860556030273,-0.28420090765686035,-0.36620880319519045,2.184632044758269
"(4, 2, 4)",10.236366518108653,-0.0013387822870985777,-0.11194272636150812,4.2791083006563415
"(4, 2, 5)",24.90605934524536,2.675747199211543,0.8255648756248875,9.838496201402169
"(4, 3, 1)",-0.8559272454809189,-0.7466041270529937,-0.7068758776119232,-0.7115987167785645
"(4, 3, 2)",-0.6824168124023438,-0.7259379389960449,-0.7576881419643402,-0.6398864655108993
"(4, 3, 3)",-0.44199018944934454,-0.5449023076009368,-0.5976853836725236,-0.6335800490664522
"(4, 3, 4)",5.224475784111361,-0.6852219966554627,-0.633759875802845,6.847639984976341
"(4, 3, 5)",23.71088817810058,7.309586958205909,1.8545661525262411,2.971599216880186
"(4, 4, 1)",-0.8822545252407074,-0.8217633549187713,-0.7251016295122146,-0.7869507004855418
"(4, 4, 2)",-0.8938345354068373,-0.8087242690089809,-0.8826114372880555,-0.7915668499732049
"(4, 4, 3)",-0.842816922276535,-0.8340787876461685,-0.9491632360421561,-0.9636148876742634
"(4, 4, 4)",2.046076875751725,1.8304672988172106,-1.0393621174443946,-1.1280065945430822
"(4, 4, 5)",22.47364748745383,7.333083788136384,-0.725771608562108,12.057375658418977
"(4, 5, 1)",-0.8807862673187519,-0.9955885155438595,-0.9970150070363216,-1.0467379845128426
"(4, 5, 2)",-1.0119896415230674,-0.9924370466082322,-1.0152979032960838,-1.0253390225995358
"(4, 5, 3)",-1.110194099958453,-1.004156698585307,-1.1227370551476947,-1.06566440734447
"(4, 5, 4)",-0.8954856890771088,-1.431917571663472,-1.4110058919693063,8.180666531465056
"(4, 5, 5)",21.2495453337731,9.935928663583436,-0.5972886747966687,6.955064688495647
"(5, 1, 5)",0.0,0.0,0.0,0.0
